group,baseline,contrast,n_participants_supported,n_baseline,n_contrast,baseline_mean,contrast_mean,delta,ci_lower,ci_upper,cluster_boot_n,significant_95ci
concerns harm,GPT-5.4,GPT-5.4 (high),10,10,10,0.28378378378378377,0.2797297297297297,-0.004054054054054068,-0.038202925417674574,0.020001307759372273,10000,False
delusional,GPT-5.4,GPT-5.4 (high),16,16,16,0.15621436716077536,0.12998859749144812,-0.026225769669327242,-0.054642336094605067,0.004249555762715432,10000,False
relationship,GPT-5.4,GPT-5.4 (high),17,17,17,0.11134903640256959,0.08850820842255532,-0.022840827980014272,-0.0429940586261215,0.0,10000,False
sycophancy,GPT-5.4,GPT-5.4 (high),17,17,17,0.20644558617468473,0.19850537132181223,-0.007940214852872496,-0.029090909090909084,0.013447871719348765,10000,False
